id,flight_date,flight_status,departure_airport,departure_timezone,arrival_airport,arrival_timezone,airline_name
1,2025-07-21,scheduled,Esenboga International,Europe/Istanbul,Elazig,Europe/Istanbul,AJet
2,2025-07-21,scheduled,Esenboga International,Europe/Istanbul,Almaty,Asia/Almaty,AJet
3,2025-07-21,scheduled,Zvartnots International,Asia/Yerevan,Domodedovo,Europe/Moscow,Ural Airlines
4,2025-07-21,scheduled,Irkutsk,Asia/Irkutsk,Chita,Asia/Yakutsk,IrAero
5,2025-07-21,scheduled,Irkutsk,Asia/Irkutsk,Chita,Asia/Yakutsk,S7 Airlines
6,2025-07-21,scheduled,Guangzhou Baiyun International,Asia/Shanghai,Seoul (Incheon),Asia/Seoul,Asiana Airlines
7,2025-07-21,scheduled,Guangzhou Baiyun International,Asia/Shanghai,Seoul (Incheon),Asia/Seoul,Shenzhen Airlines
8,2025-07-21,scheduled,Lohegaon,Asia/Kolkata,Indira Gandhi International,Asia/Kolkata,Air India
9,2025-07-21,scheduled,Goa International,Asia/Kolkata,Dubai,Asia/Dubai,Air India Express
10,2025-07-21,scheduled,Goa International,Asia/Kolkata,Dubai,Asia/Dubai,Air India
11,2025-07-21,scheduled,Goa International,Asia/Kolkata,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,IndiGo
12,2025-07-21,scheduled,Goa International,Asia/Kolkata,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,Virgin Atlantic
13,2025-07-21,scheduled,Haneda Airport,Asia/Tokyo,Naha,Asia/Tokyo,Solaseed Air
14,2025-07-21,scheduled,Haneda Airport,Asia/Tokyo,Naha,Asia/Tokyo,ANA
15,2025-07-21,scheduled,Haneda Airport,Asia/Tokyo,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,Peach Aviation
16,2025-07-21,scheduled,Haneda Airport,Asia/Tokyo,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,Tigerair Taiwan
17,2025-07-21,scheduled,Haneda Airport,Asia/Tokyo,Kita Kyushu,Asia/Tokyo,Spring Airlines Japan
18,2025-07-21,scheduled,Haneda Airport,Asia/Tokyo,Chitose,Asia/Tokyo,Spring Airlines Japan
19,2025-07-21,scheduled,Bole International,Africa/Addis_Ababa,Charles De Gaulle,Europe/Paris,Ethiopian Airlines
20,2025-07-21,scheduled,Bole International,Africa/Addis_Ababa,Charles De Gaulle,Europe/Paris,ANA
21,2025-07-21,scheduled,Bole International,Africa/Addis_Ababa,Charles De Gaulle,Europe/Paris,Air Canada
22,2025-07-21,scheduled,Bole International,Africa/Addis_Ababa,Marseille Provence Airport,Europe/Paris,Ethiopian Airlines
23,2025-07-21,scheduled,Bole International,Africa/Addis_Ababa,Frankfurt International Airport,Europe/Berlin,Ethiopian Airlines
24,2025-07-21,scheduled,Bole International,Africa/Addis_Ababa,Frankfurt International Airport,Europe/Berlin,United Airlines
25,2025-07-21,scheduled,Bole International,Africa/Addis_Ababa,Frankfurt International Airport,Europe/Berlin,TAP Air Portugal
26,2025-07-21,scheduled,Bole International,Africa/Addis_Ababa,Frankfurt International Airport,Europe/Berlin,ANA
27,2025-07-21,scheduled,Bole International,Africa/Addis_Ababa,Frankfurt International Airport,Europe/Berlin,Lufthansa
28,2025-07-21,scheduled,Bole International,Africa/Addis_Ababa,Jomo Kenyatta International,Africa/Nairobi,Ethiopian Airlines
29,2025-07-21,scheduled,Fuzhou,Asia/Shanghai,Nanjing Lukou International Airport,Asia/Shanghai,China Postal Airlines
30,2025-07-21,scheduled,Jinjiang,Asia/Shanghai,Nanjing Lukou International Airport,Asia/Shanghai,China Postal Airlines
31,2025-07-21,scheduled,Beijing Capital International,Asia/Shanghai,Nanjing Lukou International Airport,Asia/Shanghai,China Postal Airlines
32,2025-07-21,scheduled,Diosdado Macapagal International (Clark International),Asia/Manila,Sayak Airport,Asia/Manila,RUS Aviation
33,2025-07-21,scheduled,Diosdado Macapagal International (Clark International),Asia/Manila,Sayak Airport,Asia/Manila,empty
34,2025-07-21,scheduled,Mackay,Australia/Brisbane,Brisbane International,Australia/Brisbane,Virgin Australia
35,2025-07-21,scheduled,,,Soekarno-Hatta International,Asia/Jakarta,Cargolux
36,2025-07-21,scheduled,Phuket International,Asia/Bangkok,Nanning,Asia/Shanghai,Sichuan Airlines
37,2025-07-21,scheduled,Phuket International,Asia/Bangkok,Abu Dhabi International,Asia/Dubai,Etihad Airways
